Location,Area,Bedrooms,Bathrooms,Age,Floor,Parking,Furnished,AmenitiesScore,Price
Begumpet,1859,4,5,23,4,2,Semi-Furnished,3,13034911
Kompally,879,2,2,23,24,2,Semi-Furnished,2,5347831
Financial District,386,1,1,20,5,1,Semi-Furnished,10,3490384
Uppal,1629,3,3,24,14,1,Unfurnished,1,7004888
Hitech City,2093,4,5,23,21,1,Furnished,8,18207206
Jubilee Hills,1820,3,3,14,22,1,Semi-Furnished,2,15129097
Madhapur,1498,3,3,9,6,1,Unfurnished,10,12264154
Dilsukhnagar,664,2,2,8,12,1,Semi-Furnished,6,4231143
Jubilee Hills,1248,3,3,4,5,2,Semi-Furnished,8,12452929
LB Nagar,1058,2,3,29,10,0,Furnished,8,4227043
Secunderabad,1154,2,2,5,1,1,Furnished,6,8570089
Narsingi,1763,3,4,10,7,1,Furnished,5,13406814
Madhapur,2878,5,6,11,14,1,Furnished,6,24529164
Kondapur,1826,3,4,5,17,1,Semi-Furnished,10,11959067
Dilsukhnagar,1577,2,3,2,16,2,Semi-Furnished,2,9011308
Uppal,2098,4,5,0,7,1,Unfurnished,8,9198892
Ameerpet,2136,4,4,4,18,1,Semi-Furnished,4,12307003
LB Nagar,2004,3,4,18,5,1,Semi-Furnished,1,8636730
Narsingi,2378,4,4,18,6,1,Furnished,7,16863196
Financial District,1201,2,2,19,6,1,Furnished,9,11691374
Banjara Hills,1579,3,4,1,9,1,Furnished,6,14346578
Madhapur,2101,3,3,14,7,1,Unfurnished,2,17058051
Financial District,1495,3,3,10,9,1,Unfurnished,7,12305285
Kompally,1046,2,3,7,10,2,Semi-Furnished,4,6293597
Kondapur,2250,4,5,25,8,1,Semi-Furnished,8,14570454
Secunderabad,2707,4,4,20,14,0,Semi-Furnished,4,19056317
Secunderabad,788,2,2,26,16,1,Unfurnished,3,4416151
Kukatpally,1307,2,2,10,21,1,Unfurnished,1,8685719
Kukatpally,2971,5,5,28,7,1,Semi-Furnished,7,20576464
Financial District,985,2,3,12,15,1,Unfurnished,3,8506615
Kompally,1537,3,3,18,3,1,Furnished,7,7106491
Gachibowli,1427,3,3,22,22,1,Semi-Furnished,8,14137609
Banjara Hills,1655,3,3,7,21,1,Semi-Furnished,3,13642910
Banjara Hills,1899,3,4,15,3,2,Unfurnished,7,17095206
Manikonda,1237,2,3,15,18,1,Semi-Furnished,2,7357856
Banjara Hills,2059,4,4,22,22,1,Semi-Furnished,6,16681075
Secunderabad,1844,3,3,16,17,0,Unfurnished,8,12662435
Jubilee Hills,1684,3,3,3,12,1,Semi-Furnished,6,15077580
Kokapet,1498,3,4,4,24,1,Semi-Furnished,5,11114764
Begumpet,1282,2,2,1,11,1,Semi-Furnished,10,8975678
LB Nagar,2116,4,4,1,21,1,Unfurnished,4,10794123
Financial District,915,2,2,16,6,1,Furnished,7,7822402
Kompally,2399,5,5,14,19,1,Furnished,1,13960247
LB Nagar,676,2,3,7,16,1,Semi-Furnished,8,3746293
Begumpet,1588,3,3,26,16,1,Furnished,7,10855187
Narsingi,1176,2,2,20,16,1,Semi-Furnished,6,8566752
Miyapur,1185,2,2,22,20,1,Semi-Furnished,5,6826013
Kukatpally,1325,2,3,6,2,1,Furnished,1,9576071
Uppal,1441,3,3,22,22,0,Semi-Furnished,1,6928080
Hitech City,2373,4,4,9,11,1,Unfurnished,10,21324443
Jubilee Hills,692,1,2,2,6,0,Unfurnished,1,6124669
Dilsukhnagar,1313,3,4,4,0,1,Unfurnished,8,7028497
Kokapet,1093,2,2,16,24,1,Unfurnished,10,7934456
Kondapur,2396,4,4,13,23,1,Semi-Furnished,9,16770872
Kukatpally,2783,5,5,20,18,1,Unfurnished,2,19663834
Secunderabad,1000,2,3,14,22,2,Furnished,10,7820313
Narsingi,1259,2,2,23,2,2,Unfurnished,8,9107560
Kompally,523,1,2,23,2,1,Semi-Furnished,3,3079427
Jubilee Hills,2331,4,5,26,1,1,Semi-Furnished,8,22764028
Kondapur,731,1,1,2,23,1,Semi-Furnished,1,5523369
Madhapur,1522,3,4,15,8,1,Unfurnished,5,13026598
Begumpet,1138,2,3,12,24,0,Furnished,10,8544866
Ameerpet,937,2,3,1,12,1,Furnished,1,6423371
Miyapur,1399,2,3,5,18,2,Semi-Furnished,2,8477082
Kompally,2235,4,4,17,3,1,Semi-Furnished,6,12956987
Narsingi,1553,3,3,17,13,2,Furnished,4,11386146
Gachibowli,1877,3,3,10,22,1,Unfurnished,4,16063786
Narsingi,1359,2,3,10,19,2,Furnished,4,10188905
Ameerpet,1055,2,3,20,14,1,Semi-Furnished,6,5741671
Financial District,1279,2,3,14,1,1,Unfurnished,9,11092079
Dilsukhnagar,1406,3,3,24,16,0,Unfurnished,2,7691732
Shamshabad,652,1,2,25,2,1,Semi-Furnished,7,2835142
Narsingi,1352,3,3,27,21,1,Unfurnished,8,9550951
Miyapur,1009,2,2,5,10,1,Furnished,6,5496405
Secunderabad,497,1,1,24,13,1,Semi-Furnished,6,3406039
Shamshabad,1304,2,3,29,0,2,Semi-Furnished,7,5785643
Jubilee Hills,2933,5,5,9,22,1,Furnished,3,27076378
Madhapur,1343,3,4,11,7,2,Semi-Furnished,4,12934208
Kompally,2222,4,4,25,21,1,Semi-Furnished,9,13370526
Begumpet,1996,3,4,24,12,1,Semi-Furnished,4,14587976
LB Nagar,1095,2,3,17,5,1,Unfurnished,8,5604672
Secunderabad,1376,3,3,21,14,1,Semi-Furnished,5,9442489
Shamshabad,1655,3,4,17,16,1,Semi-Furnished,10,8580801
Jubilee Hills,1615,3,4,9,18,1,Furnished,3,15607645
LB Nagar,1799,3,4,3,15,1,Semi-Furnished,2,8154991
Kondapur,2308,4,4,14,13,1,Semi-Furnished,2,15724386
Kukatpally,841,2,2,7,11,1,Furnished,10,7200346
Gachibowli,2040,3,3,8,0,1,Semi-Furnished,1,17182249
Shamshabad,1750,3,4,16,16,1,Semi-Furnished,6,7077596
Dilsukhnagar,1402,3,3,4,20,0,Unfurnished,3,8478872
Uppal,2044,3,3,29,1,1,Furnished,7,8929789
Kompally,1436,3,3,29,12,1,Furnished,7,8378096
Miyapur,2625,5,5,4,14,1,Semi-Furnished,7,17135119
Ameerpet,1842,3,3,7,16,0,Furnished,4,11023170
Banjara Hills,1751,3,4,8,1,2,Unfurnished,9,16588756
Banjara Hills,1718,3,4,8,10,2,Semi-Furnished,4,16860524
Madhapur,1577,3,4,12,10,1,Unfurnished,7,14653987
Kompally,1246,3,4,28,24,1,Semi-Furnished,3,7661993
Dilsukhnagar,640,1,1,1,13,1,Semi-Furnished,8,3957202
Manikonda,2217,4,5,14,11,1,Semi-Furnished,7,11909785
Madhapur,1913,3,4,10,22,2,Unfurnished,9,17255622
Hitech City,2162,4,4,1,13,1,Unfurnished,4,19891733
Uppal,717,2,3,3,17,1,Furnished,10,4518230
Ameerpet,991,2,3,23,16,1,Unfurnished,4,5688229
Shamshabad,1534,3,4,9,14,2,Semi-Furnished,6,7555666
Secunderabad,2107,4,5,9,7,2,Semi-Furnished,5,14148754
Hitech City,1463,2,3,17,18,1,Semi-Furnished,2,12208763
Kondapur,1029,2,3,16,21,0,Semi-Furnished,7,7651190
Ameerpet,1082,2,2,1,2,1,Semi-Furnished,10,7738659
Kukatpally,1858,3,3,3,5,1,Unfurnished,4,12577075
Miyapur,1312,3,3,5,8,1,Semi-Furnished,2,7257373
Kondapur,1226,2,3,2,21,1,Semi-Furnished,6,8312643
Madhapur,709,2,2,21,11,0,Furnished,9,6412413
Manikonda,1182,3,3,22,18,1,Furnished,8,7058414
Dilsukhnagar,1052,2,3,7,6,2,Semi-Furnished,6,6360440
Shamshabad,1435,3,3,1,8,0,Furnished,9,6896432
Banjara Hills,1531,2,2,22,5,2,Semi-Furnished,6,12413803
Kondapur,1827,3,3,12,2,1,Semi-Furnished,6,11025721
Gachibowli,2165,4,4,1,1,1,Furnished,2,18661410
Begumpet,2692,4,4,21,13,1,Semi-Furnished,9,18277809
Madhapur,1201,2,2,27,12,2,Furnished,6,10802198
Ameerpet,1607,3,4,1,10,2,Semi-Furnished,9,10797910
Financial District,958,2,2,6,15,1,Semi-Furnished,4,9325332
Kukatpally,981,2,2,3,5,1,Unfurnished,4,6836852
Gachibowli,1758,3,3,21,4,0,Semi-Furnished,5,15873069
Madhapur,1121,2,3,0,12,0,Unfurnished,5,9456364
Kokapet,822,2,2,10,20,2,Unfurnished,10,6005192
Hitech City,2418,4,4,28,19,2,Semi-Furnished,10,21947920
LB Nagar,1193,2,2,1,15,1,Furnished,10,6356740
Miyapur,1798,3,4,7,16,1,Unfurnished,8,10652518
LB Nagar,1502,2,3,12,7,0,Semi-Furnished,3,6746934
Gachibowli,389,1,2,13,3,1,Furnished,7,4345647
Financial District,1156,2,2,7,9,0,Unfurnished,1,9597234
Miyapur,1949,4,5,16,3,1,Furnished,9,11254941
Kokapet,897,2,2,12,20,2,Semi-Furnished,2,6663530
Ameerpet,384,1,1,7,13,1,Semi-Furnished,6,2714255
Shamshabad,1142,2,2,23,20,1,Furnished,7,5442676
Kukatpally,2367,4,5,20,7,1,Semi-Furnished,7,15680698
Dilsukhnagar,934,2,2,27,12,1,Unfurnished,4,5274700
Kokapet,1198,2,2,10,4,1,Semi-Furnished,6,8907649
Financial District,1300,2,2,4,14,1,Semi-Furnished,8,12022093
Banjara Hills,1478,3,4,9,1,1,Semi-Furnished,7,12883472
Jubilee Hills,1623,3,4,25,21,2,Unfurnished,9,14381022
Jubilee Hills,2326,4,5,5,23,1,Unfurnished,4,21287548
Shamshabad,2278,4,4,21,7,1,Unfurnished,4,9422463
LB Nagar,1542,2,2,23,4,1,Semi-Furnished,4,6501785
Jubilee Hills,1451,3,4,23,12,1,Furnished,5,13410794
Hitech City,1563,3,3,22,0,0,Unfurnished,9,12701029
LB Nagar,834,2,3,14,5,2,Semi-Furnished,7,4268648
Secunderabad,2821,5,5,2,12,1,Semi-Furnished,6,20115074
LB Nagar,1567,3,4,4,4,1,Semi-Furnished,5,7774823
Hitech City,1094,2,2,0,23,1,Furnished,6,11663073
Uppal,1803,3,3,3,20,0,Unfurnished,6,8919567
Kukatpally,931,2,3,21,9,2,Unfurnished,9,6297377
LB Nagar,2410,4,4,20,3,1,Furnished,6,12313886
Kompally,563,1,2,6,20,0,Semi-Furnished,9,3873921
Kondapur,2527,5,5,23,16,1,Furnished,9,18612936
Secunderabad,385,1,2,21,22,1,Furnished,2,3106593
Ameerpet,934,2,3,5,1,1,Unfurnished,2,5490030
Manikonda,1075,2,2,6,21,1,Furnished,6,7320688
Begumpet,2323,5,6,20,19,1,Furnished,4,16672872
Kompally,1041,2,3,25,16,0,Unfurnished,3,5055012
Miyapur,996,2,2,22,24,1,Unfurnished,5,6004917
Financial District,1048,2,2,8,3,1,Semi-Furnished,9,9179222
Kompally,548,2,3,5,11,1,Semi-Furnished,3,4026066
Kokapet,1014,2,2,7,4,1,Furnished,5,7677079
Hitech City,2028,4,5,0,12,2,Semi-Furnished,2,19760524
Hitech City,2577,5,6,4,24,0,Unfurnished,4,23430820
Jubilee Hills,1196,2,2,5,18,2,Furnished,2,11057298
Kompally,1797,3,3,11,15,1,Furnished,1,10151894
Gachibowli,1423,2,2,24,22,1,Semi-Furnished,5,12149759
Dilsukhnagar,1469,3,4,15,1,1,Semi-Furnished,7,8740659
Madhapur,2098,4,4,2,3,2,Unfurnished,5,19619866
Gachibowli,2268,4,4,16,6,2,Unfurnished,2,20010539
Financial District,2006,4,5,23,13,1,Furnished,8,18217561
Gachibowli,1574,3,4,7,23,0,Furnished,6,14536363
Manikonda,1758,3,4,27,19,2,Semi-Furnished,9,10674702
Financial District,2273,4,4,7,16,1,Unfurnished,8,22401631
Shamshabad,889,2,2,29,8,0,Furnished,8,3847413
Jubilee Hills,1629,3,3,16,15,0,Semi-Furnished,2,14108904
Kondapur,1444,2,2,8,8,1,Furnished,8,10482734
Banjara Hills,325,1,2,18,19,1,Semi-Furnished,3,3143129
Madhapur,1665,3,4,27,3,1,Semi-Furnished,6,13086223
Dilsukhnagar,2758,5,6,22,5,0,Unfurnished,1,16637478
Dilsukhnagar,1612,3,4,24,12,1,Unfurnished,3,8033525
Manikonda,1059,2,2,13,16,1,Unfurnished,1,5954252
Kukatpally,1824,4,4,29,8,1,Unfurnished,9,12607414
Narsingi,1315,2,2,12,10,0,Semi-Furnished,1,9049056
Miyapur,1703,3,3,11,15,1,Semi-Furnished,10,10347074
Kondapur,578,1,2,17,17,1,Semi-Furnished,4,4095159
Kokapet,1283,2,2,11,18,1,Furnished,9,9609738
Begumpet,1691,3,3,27,2,1,Unfurnished,2,11716802
Madhapur,2311,4,5,11,2,1,Unfurnished,10,21515183
Kondapur,1353,2,2,24,5,2,Semi-Furnished,2,8726137
Hitech City,1850,3,3,27,11,2,Furnished,9,15814011
Miyapur,2145,4,4,27,0,1,Semi-Furnished,5,11815652
Kukatpally,907,2,3,28,9,1,Semi-Furnished,1,6016114
Narsingi,1403,3,4,11,5,1,Semi-Furnished,2,9687439
Kondapur,877,2,3,25,13,0,Semi-Furnished,10,6282102
Financial District,300,1,2,4,4,2,Semi-Furnished,7,3323667
Madhapur,1628,3,4,12,15,2,Furnished,9,15531262
Narsingi,1781,3,3,2,9,2,Semi-Furnished,10,12662328
Narsingi,1776,3,4,3,18,1,Semi-Furnished,3,12437420
LB Nagar,1708,3,3,24,23,1,Unfurnished,5,7923359
Miyapur,300,1,1,26,20,1,Semi-Furnished,6,1866598
Ameerpet,1577,3,3,25,11,2,Furnished,10,10471209
Manikonda,715,2,3,3,5,1,Semi-Furnished,7,4740532
Kompally,1922,3,4,20,13,1,Semi-Furnished,4,10293870
Kukatpally,2983,5,5,7,18,1,Unfurnished,5,20559162
LB Nagar,2927,5,5,21,21,1,Semi-Furnished,10,13957915
Manikonda,2242,4,4,29,14,2,Unfurnished,10,13831289
Narsingi,1075,2,2,4,0,0,Unfurnished,8,7425216
Kondapur,2269,4,5,7,22,1,Unfurnished,4,16679044
Madhapur,1319,2,2,1,12,2,Semi-Furnished,2,13386274
Miyapur,1072,2,3,1,1,1,Semi-Furnished,2,5850444
Kukatpally,1556,3,3,21,6,1,Unfurnished,9,10279840
LB Nagar,1479,3,3,16,22,1,Semi-Furnished,10,7272129
Hitech City,1428,3,3,27,13,2,Furnished,6,13501179
Hitech City,1094,2,3,13,1,1,Semi-Furnished,9,8864435
Dilsukhnagar,1762,3,3,17,21,1,Unfurnished,2,9454767
Miyapur,378,1,1,10,24,1,Unfurnished,2,2525361
Dilsukhnagar,1627,3,4,5,15,2,Semi-Furnished,1,10099584
Banjara Hills,2031,4,5,20,20,2,Unfurnished,8,18523152
Dilsukhnagar,1548,2,3,4,9,1,Semi-Furnished,7,8885350
Secunderabad,1904,3,3,8,6,2,Semi-Furnished,4,13996430
Jubilee Hills,1307,2,3,0,3,1,Semi-Furnished,2,11770488
Secunderabad,926,2,3,11,11,1,Semi-Furnished,6,7359524
Banjara Hills,2091,4,4,21,21,1,Unfurnished,5,18093645
Begumpet,504,1,1,24,2,1,Semi-Furnished,6,3221601
Shamshabad,554,1,1,5,0,1,Furnished,1,3048930
Miyapur,947,2,3,14,8,1,Unfurnished,5,5508908
Banjara Hills,1841,3,3,15,10,1,Semi-Furnished,4,18034178
Kompally,1724,3,3,23,7,1,Unfurnished,8,10167824
Gachibowli,1526,3,4,27,22,1,Semi-Furnished,8,15531597
Secunderabad,1358,2,2,27,21,1,Unfurnished,7,9892669
Begumpet,1972,4,5,12,20,1,Furnished,1,13510975
Narsingi,2260,4,4,8,13,0,Unfurnished,5,17332758
Shamshabad,1328,3,3,28,20,2,Semi-Furnished,6,6265051
Kokapet,2107,3,3,5,7,1,Unfurnished,1,13127937
Narsingi,2664,5,6,5,8,1,Furnished,8,19992933
Dilsukhnagar,956,2,2,21,17,2,Unfurnished,3,5457144
Jubilee Hills,1859,3,3,29,3,1,Semi-Furnished,7,15686965
Narsingi,1098,2,2,8,4,0,Semi-Furnished,10,8680977
Ameerpet,562,1,2,15,21,1,Unfurnished,3,3017186
Dilsukhnagar,1498,3,3,26,1,2,Unfurnished,7,7510535
Narsingi,1309,3,3,16,17,2,Semi-Furnished,5,9316168
Kokapet,1652,3,3,10,8,0,Unfurnished,1,10641915
Jubilee Hills,1986,3,3,23,18,1,Semi-Furnished,3,16683628
Financial District,1384,2,2,22,9,2,Semi-Furnished,8,11803632
Secunderabad,1118,2,2,26,3,1,Furnished,1,7560617
Gachibowli,969,2,3,3,2,1,Semi-Furnished,5,9673549
Shamshabad,1719,3,3,24,24,0,Semi-Furnished,9,7545051
Begumpet,1094,2,2,18,21,1,Furnished,6,7974270
Financial District,1599,3,4,17,4,1,Furnished,9,15516883
Manikonda,2491,4,5,16,15,0,Semi-Furnished,10,12737342
Jubilee Hills,2330,4,4,19,14,1,Furnished,6,18851916
Narsingi,1771,3,3,23,1,1,Semi-Furnished,6,12003098
Banjara Hills,1016,2,2,1,8,1,Semi-Furnished,6,10003393
Shamshabad,2961,5,6,14,12,2,Semi-Furnished,3,14301479
Kompally,1570,3,3,13,0,2,Semi-Furnished,4,9252520
Financial District,1183,3,3,4,15,2,Unfurnished,3,11796306
Financial District,1426,3,3,23,21,1,Furnished,7,12181749
Uppal,1663,3,3,29,20,1,Semi-Furnished,1,6981441
Madhapur,962,2,3,26,0,1,Semi-Furnished,3,8228330
Kondapur,1132,2,2,19,21,1,Unfurnished,7,7863835
Financial District,2194,4,5,9,16,1,Semi-Furnished,9,19461915
Kondapur,1119,2,2,6,2,1,Semi-Furnished,2,7291862
Begumpet,1412,3,3,14,5,0,Semi-Furnished,4,10092620
Dilsukhnagar,2059,3,3,21,2,1,Semi-Furnished,9,12012974
Banjara Hills,1320,3,3,1,3,2,Unfurnished,10,12341608
Kompally,811,2,3,12,0,0,Semi-Furnished,1,5089459
Secunderabad,1874,3,4,9,5,2,Unfurnished,2,12813896
Kokapet,1073,2,3,14,3,1,Semi-Furnished,10,8201808
Financial District,1391,3,4,19,12,0,Unfurnished,7,12702908
Kompally,1493,3,3,4,10,1,Unfurnished,2,8275888
Gachibowli,756,2,2,22,9,2,Semi-Furnished,4,7373934
LB Nagar,1864,4,4,26,13,1,Furnished,1,8607914
Secunderabad,1270,2,3,0,21,2,Unfurnished,5,9175817
Jubilee Hills,1528,3,3,3,17,1,Furnished,2,15585438
Jubilee Hills,1391,3,4,21,6,0,Semi-Furnished,4,12510707
Kompally,1094,2,3,5,5,1,Semi-Furnished,1,6443807
Begumpet,2361,4,5,18,2,2,Unfurnished,8,16934105
Begumpet,1859,3,3,24,12,1,Furnished,5,12649015
Hitech City,1469,3,3,16,20,2,Unfurnished,3,12441658
Kukatpally,1284,2,3,22,15,1,Semi-Furnished,6,9246246
Secunderabad,1211,2,3,14,15,1,Unfurnished,8,8099028
Jubilee Hills,1724,3,4,29,16,1,Semi-Furnished,3,13308581
Uppal,905,2,3,9,10,1,Unfurnished,6,4440794
Financial District,1151,2,3,8,14,2,Furnished,3,10861178
Begumpet,1526,3,4,12,21,1,Unfurnished,1,10064214
Kukatpally,1005,2,3,16,2,1,Semi-Furnished,5,6610516
Banjara Hills,540,1,2,14,20,1,Semi-Furnished,9,5002158
Secunderabad,1722,3,4,18,11,1,Furnished,3,12532354
Financial District,2039,4,5,29,24,2,Furnished,2,18159998
Miyapur,2299,4,4,27,19,1,Unfurnished,2,12603186
LB Nagar,1984,4,4,21,13,1,Unfurnished,4,8447960
Shamshabad,513,1,1,1,16,1,Semi-Furnished,2,2936128
Kompally,837,1,1,15,12,1,Semi-Furnished,4,4135428
Narsingi,389,1,1,27,8,1,Semi-Furnished,10,3035087
Narsingi,1393,2,3,9,4,1,Furnished,10,10058730
LB Nagar,1398,3,3,12,1,1,Furnished,1,6811615
Jubilee Hills,1213,2,2,16,5,1,Semi-Furnished,3,10573490
Banjara Hills,1297,3,4,26,3,2,Unfurnished,5,11131264
Kompally,2347,4,4,0,7,0,Unfurnished,6,14029482
Gachibowli,2274,4,5,24,23,1,Semi-Furnished,7,20646547
Miyapur,1798,3,3,28,5,0,Furnished,10,10498510
Gachibowli,2730,5,5,16,2,0,Semi-Furnished,3,23054986
Ameerpet,343,1,1,22,14,1,Unfurnished,3,1934751
Manikonda,1516,3,3,28,18,1,Semi-Furnished,9,8555479
Shamshabad,1352,3,4,27,4,1,Semi-Furnished,5,5577800
Dilsukhnagar,1790,3,4,13,10,2,Furnished,7,10713029
Kokapet,996,2,3,26,24,1,Unfurnished,3,6876732
Banjara Hills,1762,3,3,21,17,1,Furnished,2,14800022
Shamshabad,1614,3,3,7,21,1,Furnished,8,7466545
LB Nagar,1177,2,2,25,10,1,Semi-Furnished,6,5145007
Shamshabad,589,1,1,19,22,2,Semi-Furnished,7,2876856
Manikonda,2325,4,5,23,8,2,Unfurnished,10,12501118
Narsingi,1888,3,4,29,13,1,Unfurnished,7,12684918
Dilsukhnagar,2066,4,5,11,1,1,Unfurnished,8,11711985
Begumpet,1166,2,2,24,7,1,Unfurnished,7,7848663
Miyapur,1010,2,3,3,12,0,Unfurnished,6,6410668
Hitech City,1093,2,2,22,10,1,Furnished,5,9323674
Madhapur,2223,4,4,0,22,2,Semi-Furnished,7,20162383
Begumpet,992,2,2,17,18,2,Semi-Furnished,10,6917966
Kompally,853,1,1,7,19,0,Semi-Furnished,9,5261184
Dilsukhnagar,1840,3,4,17,15,1,Semi-Furnished,9,10418736
Miyapur,1152,2,3,24,13,1,Unfurnished,7,5909161
Miyapur,1693,3,4,27,20,1,Unfurnished,6,8779813
Jubilee Hills,2512,4,5,29,24,2,Unfurnished,10,24635569
Gachibowli,2303,4,4,4,19,1,Unfurnished,5,22438057
Shamshabad,1206,2,2,12,16,1,Semi-Furnished,1,5971637
Miyapur,2012,4,4,25,14,2,Semi-Furnished,1,10911944
Manikonda,2027,3,4,12,17,1,Furnished,5,11985727
Manikonda,1253,2,2,9,11,1,Unfurnished,4,7192366
Banjara Hills,2044,4,5,14,11,1,Unfurnished,9,18911363
Miyapur,1344,2,2,29,18,2,Unfurnished,1,6964113
Banjara Hills,1248,2,3,5,21,0,Unfurnished,3,11174185
Miyapur,2161,4,4,18,1,1,Furnished,1,12269762
Madhapur,1716,3,3,25,16,1,Furnished,4,15678329
Narsingi,1529,3,4,26,0,0,Furnished,1,10393354
Dilsukhnagar,880,2,2,13,12,1,Semi-Furnished,10,5548592
Begumpet,2040,4,5,23,4,1,Furnished,1,13843969
Kompally,1817,3,4,22,17,2,Furnished,7,10114177
Manikonda,1549,3,3,25,20,1,Furnished,6,8801648
Banjara Hills,1255,2,3,23,24,1,Semi-Furnished,7,12096698
Hitech City,1663,3,3,2,7,1,Semi-Furnished,1,15858680
Miyapur,2235,4,5,22,4,1,Furnished,5,12129791
Secunderabad,2377,4,5,10,11,1,Unfurnished,8,18185630
Secunderabad,435,1,2,19,24,1,Semi-Furnished,8,3375273
Kondapur,1276,3,3,20,14,2,Semi-Furnished,8,9878236
Kompally,1156,2,2,15,13,2,Semi-Furnished,8,6785737
Kompally,1826,4,4,2,5,1,Unfurnished,7,10494715
Jubilee Hills,320,1,1,17,17,1,Furnished,7,3353339
Dilsukhnagar,1135,2,3,16,2,1,Semi-Furnished,10,6877413
Manikonda,732,1,1,17,0,1,Furnished,6,4324425
Uppal,1193,2,2,15,15,0,Semi-Furnished,2,4772304
Gachibowli,1170,2,2,23,11,2,Semi-Furnished,9,10279094
Manikonda,2047,3,4,28,6,1,Furnished,7,11797695
Kondapur,470,1,2,28,22,1,Semi-Furnished,8,3390064
Secunderabad,1054,2,2,2,9,0,Furnished,4,7880313
